Date,Close
1-Apr-14,0.22%
1-Apr-15,-2.19%
1-Apr-16,0.35%
1-Apr-19,0.16%
1-Apr-20,-4.70%
1-Aug-13,-1.96%
1-Aug-14,-1.85%
1-Aug-16,-4.01%
1-Aug-17,0.00%
1-Aug-18,-32.36%
1-Aug-19,0.00%
1-Dec-14,-4.01%
1-Dec-15,1.86%
1-Dec-16,4.56%
1-Dec-17,0.24%
1-Dec-20,-7.53%
1-Feb-13,4.59%
1-Feb-15,0.00%
1-Feb-16,6.45%
1-Feb-17,-8.98%
1-Feb-18,-5.17%
1-Feb-19,2.34%
1-Jan-13,0.00%
1-Jul-13,0.72%
1-Jul-14,2.47%
1-Jul-15,0.31%
1-Jul-16,0.61%
1-Jul-17,0.00%
1-Jul-19,0.38%
1-Jul-20,38.33%
1-Jun-14,0.00%
1-Jun-15,1.97%
1-Jun-16,1.06%
1-Jun-17,2.13%
1-Jun-18,1.81%
1-Mar-13,1.89%
1-Mar-16,0.51%
1-Mar-17,-14.22%
1-Mar-18,6.90%
1-Mar-19,1.81%
1-May-15,0.00%
1-Nov-13,-1.84%
1-Nov-14,0.00%
1-Nov-15,11.47%
1-Nov-16,-10.58%
1-Nov-17,0.23%
1-Nov-18,3.40%
1-Nov-19,-0.07%
1-Oct-13,0.00%
1-Oct-14,-1.53%
1-Oct-15,2.02%
1-Oct-17,0.00%
1-Oct-18,0.13%
1-Oct-19,2.03%
1-Oct-20,14.63%
1-Sep-13,0.00%
1-Sep-14,-7.95%
1-Sep-15,-2.88%
1-Sep-16,-11.28%
1-Sep-17,5.07%
1-Sep-20,-1.59%
10-Apr-13,0.89%
10-Apr-14,0.44%
10-Apr-15,7.92%
10-Apr-17,0.56%
10-Apr-18,0.99%
10-Apr-19,-11.53%
10-Aug-13,0.00%
10-Aug-14,0.00%
10-Aug-15,1.82%
10-Aug-16,2.49%
10-Aug-17,0.47%
10-Aug-18,-39.41%
10-Aug-20,-6.33%
10-Dec-13,0.72%
10-Dec-14,2.88%
10-Dec-15,4.20%
10-Dec-19,0.59%
10-Dec-20,25.34%
10-Feb-14,0.00%
10-Feb-15,0.09%
10-Feb-16,14.98%
10-Feb-17,-9.95%
10-Feb-20,0.00%
10-Jan-13,2.42%
10-Jan-14,-3.19%
10-Jan-16,0.00%
10-Jan-17,12.19%
10-Jan-18,-0.23%
10-Jan-19,-1.60%
10-Jan-20,0.08%
10-Jul-13,-1.16%
10-Jul-14,0.00%
10-Jul-15,3.39%
10-Jul-17,0.00%
10-Jul-18,0.16%
10-Jul-19,0.38%
10-Jul-20,0.00%
10-Jun-13,0.00%
10-Jun-14,-0.63%
10-Jun-15,2.04%
